"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\utils\converter.dart", "Dart", 56, 0, 6, 62
"d:\Flutter Application\book_store_manager\lib\utils\currency_utils.dart", "Dart", 22, 0, 4, 26
"d:\Flutter Application\book_store_manager\lib\utils\date_time.dart", "Dart", 31, 0, 9, 40
"d:\Flutter Application\book_store_manager\lib\utils\dialog_utils.dart", "Dart", 27, 0, 6, 33
"d:\Flutter Application\book_store_manager\lib\utils\email_validator.dart", "Dart", 6, 0, 2, 8
"d:\Flutter Application\book_store_manager\lib\utils\enum_convert.dart", "Dart", 37, 0, 3, 40
"d:\Flutter Application\book_store_manager\lib\utils\number_utils.dart", "Dart", 12, 0, 1, 13
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\abstract_order_item.dart", "Dart", 228, 0, 9, 237
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\await_confirm_order_item.dart", "Dart", 74, 0, 5, 79
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\cancel_order_item.dart", "Dart", 48, 0, 6, 54
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\complete_order_item.dart", "Dart", 48, 0, 6, 54
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\delivering_order_item.dart", "Dart", 39, 0, 4, 43
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\prepared_order_item.dart", "Dart", 74, 0, 5, 79
"d:\Flutter Application\book_store_manager\lib\widgets\abstract\preparing_order_item.dart", "Dart", 74, 0, 5, 79
"d:\Flutter Application\book_store_manager\lib\widgets\custom_app_bar.dart", "Dart", 47, 0, 5, 52
"d:\Flutter Application\book_store_manager\lib\widgets\data_form.dart", "Dart", 21, 0, 4, 25
